flensburg kiel 4
kiel lubeck 4
kiel hamburg 8
lubeck hamburg 6
lubeck schwerin 6
hamburg schwerin 8
hamburg cuxhaven 11
hamburg bremen 11
hamburg hannover 17
schwerin hannover 19
schwerin magdeburg 16
schwerin berlin 18
schwerin rostock 6
schwerin torgelow 19
cuxhaven bremen 8
bremen wilhelmshaven 11
bremen osnabruck 11
bremen hannover 10
hannover osnabruck 16
hannover magdeburg 15
hannover kassel 15
hannover erfurt 19
magdeburg berlin 10
magdeburg halle 11
berlin torgelow 15
berlin frankfurt-d 6
berlin halle 17
rostock torgelow 19
wilhelmshaven osnabruck 14
osnabruck munster 7
osnabruck kassel 20
kassel dortmund 18
kassel frankfurt-m 13
kassel fulda 8
kassel erfurt 15
erfurt fulda 13
erfurt nurnberg 21
erfurt halle 6
erfurt dresden 19
halle leipzig 0
frankfurt-d leipzig 21
frankfurt-d dresden 16
munster essen 6
munster dortmund 2
dortmund koln 10
dortmund frankfurt-m 20
frankfurt-m wiesbaden 0
frankfurt-m wurzburg 13
frankfurt-m fulda 8
fulda wurzburg 11
nurnberg wurzburg 8
nurnberg augsburg 18
nurnberg regensburg 12
dresden leipzig 13
essen dusseldorf 2
essen duisburg 0
essen dortmund 4
koln dusseldorf 4
koln aachen 7
koln trier 20
koln wiesbaden 21
wiesbaden trier 18
wiesbaden saarbrucken 10
wiesbaden mannheim 11
wurzburg mannheim 10
wurzburg stuttgart 12
wurzburg augsburg 19
augsburg stuttgart 15
augsburg konstanz 17
augsburg munchen 6
augsburg regensburg 13
regensburg munchen 10
regensburg passau 12
dusseldorf aachen 9
aachen trier 19
trier saarbrucken 11
saarbrucken mannheim 11
saarbrucken stuttgart 17
mannheim stuttgart 6
stuttgart freiburg 16
stuttgart konstanz 16
konstanz freiburg 14
munchen passau 14
